name,state,city
Hidden Oaks Country Club,CA,Santa Barbara
Hiddenbrooke Golf Course,CA,Vallejo
Lomas Santa Fe Country Club,CA,Solana Beach
Indian Wells Golf Resort,CA,Indian Wells
Indian Wells Country Club,CA,Indian Wells
Big Canyon Country Club,CA,Newport Beach
The Bridges Golf Club,CA,San Ramon
Diablo Grande Resort,CA,Patterson
Journey at Pechanga,CA,Temecula
Sun Lakes Country Club and Golf Course,CA,Banning
Copper River Country Club,CA,Fresno
Oak Tree Country Club,CA,Bear Valley Springs
Quail Lodge Golf Club,CA,Carmel
The Plantation Golf Club,CA,Indio
Woodhaven Golf Course,CA,Palm Desert
Classic Club Golf Course,CA,Palm Desert
Escena Golf Club,CA,Palm Springs
Crow Canyon Country Club,CA,Danville
Bernardo Heights Country Club,CA,San Diego
Burlingame Country Club,CA,Hillsborough
Black Lake Golf Course,CA,Nipomo
Cypress Ridge Golf Course,CA,Arroyo Grande
Oakhurst Country Club,CA,Clayton
Redhawk Golf Club,CA,Temecula
The Citrus Club at La Quinta Resort - Dunes Course,CA,La Quinta
The Citrus Club at La Quinta Resort - Citrus Course,CA,La Quinta
California Oaks Golf Club,CA,Murrieta
Monterey Country Club,CA,Palm Desert
Desert Willow Golf Resort,CA,Palm Desert
Porter Valley Country Club,CA,Northridge
Sierra Star Golf Course,CA,Mammoth Lakes
St Marks Golf - Lake San Marcos Country Club,CA,San Marcos
Monarch Beach Golf Links,CA,Dana Point
San Juan Hills Golf Club,CA,San Juan Capistrano
Pelican Hill Golf Club,CA,Newport Beach
Shadow Mountain Golf Club,CA,Palm Desert
Vellano Country Club,CA,Chino Hills
Wilshire Country Club,CA,Los Angeles
Leisure Village Golf Course,CA,Camarillo
Rancho Vista Golf Course,CA,Palmdale
Tierra del Sol Golf Course,CA,California City
Lemoore Golf Course,CA,Lemoore
The Preserve Golf Club Santa Lucia,CA,Carmel
Avila Beach Resort Golf Course,CA,Avila Beach
RoadRunner Golf & Country Club (Borrego),CA,Borrego Springs
Snowcreek Resort Golf Course,CA,Mammoth Lakes
Sunset Hills Country Club,CA,Thousand Oaks
Jack Nicklaus Resort Golf Course,CA,La Quinta
The Springs at Borrego,CA,Borrego Springs
Indio Municipal Golf Course,CA,Indio
The Vineyards Golf Course,CA,Coachella
Lake Oroville Golf Course,CA,Oroville
Arnold Palmer Course,CA,Rancho Mirage
Date Palm Country Club,CA,Cathedral City
Arnold Palmer Golf Course (PGA West),CA,La Quinta
Greg Norman Course Resort Course (PGA West),CA,La Quinta
Yorba Linda Golf Course,CA,Yorba Linda
Bermuda Dunes Golf Club,CA,Bermuda Dunes
Via Verde Country Club,CA,San Dimas
Martis Camp Golf Course,CA,Truckee
Lahontan Golf Course,CA,Truckee
Oasis Country Club Golf Course,CA,Palm Desert
Indian Ridge Country Club,CA,Palm Desert
Palm Desert Resort and Country Club,CA,Palm Desert
Vintage Club,CA,Indian Wells
Marrakesh Country Club,CA,Palm Desert
Silver Creek Valley Country Club,CA,San Jose
Ponderosa Golf Course,CA,Truckee
The Golf Club at Gray's Crossing,CA,Truckee
Nakoma Resort Golf Course,CA,Clio
The Falls,CA,Danville
The Sea Ranch Golf Links,CA,Sea Ranch
Poppy Hills Golf Course,CA,Pebble Beach
Silver Lakes Golf Course,CA,Helendale
Portola Country Club,CA,Palm Desert
Chaparral Country Club,CA,Palm Desert
Tamarisk Country Club,CA,Rancho Mirage
The Quarry at La Quinta,CA,La Quinta
Suncrest County Club,CA,Palm Desert
Sunrise Country Club,CA,Rancho Mirage
Heritage Palms Country Club,CA,Indio
Palm Desert Country Club,CA,Palm Desert
The Lakes Country Club,CA,Palm Desert
Ivey Ranch Country Club,CA,Thousand Palms
Rancho Mirage Country Club,CA,Rancho Mirage
Indian Springs Golf Club,CA,Indio
Morongo Golf Club at Tukwet Canyon,CA,Beaumont
Shadow Hills Golf Club - North Course,CA,Indio
