name,state,city
Sewells Point Golf Course,VA,Norfolk
Top Golf,VA,Virginia Beach
Cedar Point Country Club,VA,Suffolk
Pendleton Golf Club,VA,Ruther Glen
Lynch Links Golf Course of Emory & Henry College,VA,Meadowview
Castle Rock Golf & Recreation,VA,Pembroke
Dan Hall Mountain Golf Course,VA,Coeburn
Auburn Hills,VA,Riner
Shenvalee Creek Course,VA,New Market
Prince George Golf Course,VA,Disputanta
Amelia Golf & Country Club,VA,Amelia Court House
Meadows Farms Golf Course,VA,Locust Grove
Heronwood,VA,Upperville
Nottoway River Country Club,VA,Blackstone
Ole Monterey Golf Club,VA,Roanoke
Bedford Country Club,VA,Bedford
Brickshire Golf Club,VA,Providence Forge
Quinton Oaks,VA,Callao
Loch Lowman Golf Course,VA,Radford
Salem Golf Course,VA,Salem
Herndon Centennial Golf Course,VA,Herndon
Pete Dye River Course of Virginia Tech,VA,Radford
Westfields Golf Club,VA,Clifton
Greendale Golf Course,VA,Alexandria
Belle Haven Country Club,VA,Alexandria
Mount Vernon Country Club,VA,Alexandria
Penderbrook Golf Course,VA,Fairfax
Chantilly National Golf and Country Club,VA,Centreville
Country Club Of Fairfax,VA,Fairfax
Four Seasons Golf Center,VA,Fairfax
Hidden Creek Country Club,VA,Reston
Country Club of Culpeper,VA,Culpeper
The Golf Club of Virginia at Beacon Hill,VA,Leesburg
Caverns Country Club Resort,VA,Luray
Front Royal Golf Club,VA,Front Royal
Hermitage Country Club,VA,Manakin-Sabot
Glenmore Country Club,VA,Keswick
Colonial Heritage Golf Club,VA,Williamsburg
Williamsburg National Golf Club - The Jamestown Course,VA,Williamsburg
Two Rivers Golf Course,VA,Williamsburg
Stonehouse Golf Club,VA,Toano
Greenbrier Country Club,VA,Chesapeake
River Creek Golf Course,VA,Leesburg
Royal New Kent Golf Club,VA,Providence Forge
Kiln Creek Country Club,VA,Newport News
Regency at Dominion Valley,VA,Haymarket
Riverfront Golf Club,VA,Suffolk
Reston National Golf Course,VA,Reston
Heron Ridge Golf Club,VA,Virginia Beach
Skyland Lakes Golf Club,VA,Fancy Gap
Dogwood Trace Golf Course,VA,Petersburg
Lynch Link,VA,Meadowview
Chesapeake Golf and Country Club,VA,Chesapeake
Green Hills Golf Course,VA,Stanardsville
The Country Club of Virginia - Tuckahoe Creek,VA,Richmond
Aquia Harbour Golf Club,VA,Stafford
Ivy Hill Golf Club,VA,Forest
Shenvalee Miller Course,VA,New Market
Birkdale Golf Club,VA,Chesterfield
Brandermill Country Club,VA,Midlothian
Williamsburg National Golf Club - The Yorktown Course,VA,Williamsburg
Heritage Oaks Golf Course,VA,Harrisonburg
Montclair Country Club,VA,Montclair
Evergreen Country Club,VA,Haymarket
Stoney Creek Golf Course,VA,Nellysford
Devil's Knob Golf Course,VA,Wintergreen
The Golf Club at the Highlands,VA,Chesterfield
Potomac Shores Golf Club,VA,Potomac Shores
Cheatham Annex Deer Cove Golf Course,VA,Williamsburg
